,Fact,Population EstimatesJuly 1 2021(),Persons under 5 years,Persons under 18 years,Persons 65 years and over,Female persons,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Two or More Races,Hispanic or Latino,White alonenot Hispanic or Latino,Veterans2017-2021,Foreign born persons2017-2021,Banned or not
63,Perry County Ohio,35460,2056.68,8368.56,6240.96,17623.62,34431.66,212.76,141.84,70.92,35.46,567.36,354.6,34112.52,2578,177.3,0.0
64,Pickaway County Ohio,59333,3144.6489999999994,12756.595,9552.613000000001,27945.843000000004,55357.68899999999,2373.32,177.99899999999997,355.99799999999993,,1067.9940000000001,1008.661,54586.36,3723,474.664,0.0
65,Pike County Ohio,27089,1706.6069999999997,6474.271,4984.376,13598.678,25815.816999999995,352.15700000000004,216.71200000000002,81.267,27.089000000000002,595.9580000000001,352.15700000000004,25572.016,2036,189.623,0.0
66,Portage County Ohio,162382,7144.808000000001,29715.906000000003,28741.613999999998,82490.056,146630.946,8119.1,324.764,3410.022,162.382,3734.7859999999996,3572.4040000000005,143708.07,8573,4871.46,0.0
67,Preble County Ohio,40867,2165.951,9113.341,8132.532999999999,20433.5,39518.388999999996,326.93600000000004,163.46800000000002,286.06899999999996,,572.1379999999999,449.53700000000003,39150.586,2703,367.80300000000005,0.0
68,Putnam County Ohio,34318,2196.3520000000003,8854.044,6314.512,17021.728,33563.004,240.226,137.27200000000002,102.954,,274.54400000000004,2333.624,31435.287999999997,1454,446.134,0.0
69,Richland County Ohio,125195,7010.92,27417.705,25039.0,61220.355,108794.455,11893.525,250.39,1126.755,125.195,3129.875,2754.29,106540.945,8429,2003.12,0.0
70,Ross County Ohio,76891,4075.223,16224.001,13532.816,36446.334,69586.355,4459.678,230.673,384.455,,2076.0570000000002,1076.474,68817.445,5240,692.0190000000001,0.0
71,Sandusky County Ohio,58715,3170.61,12917.3,11625.57,29416.215,54428.805,2113.74,234.86,293.575,,1644.02,6282.505,48850.88,3550,998.155,0.0
72,Scioto County Ohio,73346,4034.03,15989.428,13789.048,36966.384,69018.586,2053.688,440.07599999999996,293.384,,1540.266,1173.536,68065.088,4573,513.422,0.0
73,Shelby County Ohio,47977,3070.528,11850.319,8347.998,23748.615,44954.449,1151.448,95.954,575.724,47.977,1151.448,767.632,44330.748,2824,767.632,0.0
74,Stark County Ohio,373834,20560.87,80374.31,75140.634,191029.17400000003,327104.75,30280.554,1121.502,3738.34,,11215.02,8972.016,320001.904,23509,7850.514,0.0
75,Trumbull County Ohio,201335,10469.42,41475.01,44495.035,102479.515,177174.8,17717.480000000003,402.67,1208.01,,4630.704999999999,4228.035,173953.44,14454,3020.025,0.0
76,Tuscarawas County Ohio,92500,5735.0,21182.5,18500.0,46435.0,88985.0,925.0,555.0,370.0,277.5,1387.5,3330.0,86580.0,5457,1387.5,0.0
77,Vinton County Ohio,12696,672.888,2704.248,2361.456,6309.912,12315.12,76.17599999999999,50.784000000000006,50.784000000000006,,203.13600000000002,139.656,12200.855999999998,634,101.56800000000001,0.0
78,Warren County Ohio,246553,13560.415,58926.166999999994,37476.056,121550.62899999999,214254.55700000003,9615.567,493.10600000000005,17012.157000000003,246.55300000000003,4931.06,7889.696000000001,207351.07299999997,12515,19231.134,0.0
79,Washington County Ohio,59423,2911.7270000000003,11765.754,13013.636999999999,30008.615,56867.81100000001,772.4990000000001,178.26899999999998,415.961,,1129.037,713.0759999999999,56273.581000000006,4903,831.922,0.0
80,Wayne County Ohio,116710,7352.73,28243.82,21824.77,58238.29,111224.63,1867.36,233.42,1283.8100000000002,116.71,2100.78,2567.6200000000003,109123.85,5834,2567.6200000000003,0.0
81,Williams County Ohio,36716,2092.812,8114.236000000001,7343.2,18321.284,35394.224,477.30800000000005,146.864,220.296,,440.592,1909.2320000000002,33705.288,1996,587.456,0.0
82,Seneca County Ohio,54906,3019.83,11914.601999999999,10377.233999999999,27288.282000000003,51446.922,1482.4620000000002,164.718,439.24800000000005,54.906000000000006,1372.65,3129.6420000000003,48756.528,3361,878.4960000000001,1.0
83,Wood County Ohio,132472,6623.6,26891.816000000003,21327.992000000002,66765.88799999999,122801.54400000001,3841.688,397.416,2649.44,,2649.44,8080.7919999999995,115648.056,6213,4371.576,0.0
84,Union County Ohio,64971,3963.2309999999998,15852.923999999999,8446.23,33460.065,58214.015999999996,1754.217,129.942,3703.347,,1169.478,1624.275,56784.654,3081,3508.434,1.0
85,Wyandot County Ohio,21708,1128.816,4840.884,4428.432,10897.416000000001,21121.884,108.54,65.124,151.956,,260.496,716.3639999999999,20514.06,1341,303.912,0.0
