,Bachelor's degree or higher of persons age 25 years+,"With a disability, under age 65 years","Persons without health insurance, under age 65 years","In civilian labor force, total of population age 16 years+","In civilian labor force, female of population age 16 years+","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+",Median household income (in 2021 dollars),Per capita income in past 12 months (in 2021 dollars),Persons in poverty,"Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not,Fact
75,38857.655,24764.205,18522.819999999996,109928.91,102479.515,12896,23.6,50258,28123,31206.925,3817,55664,2097513,326.8,618.1,0.0,Trumbull County Ohio
76,17019.999999999996,9990.000000000002,10267.5,57257.5,50690.0,12933,23.5,57545,29276,11470.0,2062,30562,1240618,164.4,567.39,0.0,Tuscarawas County Ohio
77,1663.1760000000002,2044.056,1180.728,6932.016,6513.047999999999,2320,35.3,46653,25263,2450.328,147,1641,50807,31.0,412.36,0.0,Vinton County Ohio
78,108729.873,16765.604,12820.756000000001,160506.003,151630.095,12796,25.7,95709,45255,14546.627000000002,4456,83544,4528870,603.7,401.43,0.0,Warren County Ohio
79,11765.754,7784.413,4634.994,34524.763000000006,31375.343999999997,14565,23.2,54167,31375,8081.527999999999,1351,22846,1062679,94.6,631.97,0.0,Washington County Ohio
80,27310.14,10854.03,14121.91,72943.75,64307.21,11768,20.2,64594,30362,11204.16,2482,43423,1792709,210.7,554.79,0.0,Wayne County Ohio
81,5360.536,4148.908,3047.4280000000003,22800.636000000002,21735.872000000003,10145,17.9,55030,28831,3304.44,780,15739,623325,88.2,420.66,0.0,Williams County Ohio
82,9828.173999999999,5655.318,4447.3859999999995,34480.968,32504.352000000003,10226,20.7,56043,28992,6588.72,1025,16462,607851,99.9,551.03,1.0,Seneca County Ohio
83,48087.335999999996,11657.536,9405.511999999999,90213.43199999999,84517.136,14333,20.7,66337,36047,14439.448,2701,57707,2719738,214.3,617.16,0.0,Wood County Ohio
84,24559.037999999997,4418.028,3573.405,43725.483,38527.803,13966,25.9,96634,44442,3573.405,1083,25265,1591247,145.4,431.76,1.0,Union County Ohio
85,4211.352,1801.7640000000001,1758.348,13979.952000000001,12851.136,12356,22.9,61626,30596,1714.932,494,9495,425207,53.8,406.88,0.0,Wyandot County Ohio
