,Fact,"Population Estimates, July 1 2021, (V2021)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
35,Highland County Ohio,43354,2731.302,10318.252,8193.905999999999,21850.416,41446.424,693.6640000000001,173.41600000000003,216.77,,823.7259999999999,606.956,41012.884,2830,346.83200000000005,18977,71.6,126200,1092,396,704,71.0,16526,2.58,38628.414,1387.3280000000002,37241.086,33555.996,36287.298,6112.914000000001,5852.79,4465.462,25232.028000000002,23281.098,10160,28.5,52376,24980,6026.206,676,8371,334403,78.3,553.08,0.0
36,Hocking County Ohio,28097,1489.141,6097.049,5563.206,14048.5,27169.799,224.776,112.388,140.485,,421.455,337.164,26916.926,1676,140.485,12994,78.3,144000,1180,446,701,12.0,11240,2.47,25680.658000000003,533.843,25483.979,23517.189,24753.457,4158.356000000001,3652.61,2444.439,16492.939000000002,15003.798,8363,29.8,56755,27714,4636.005,482,5340,158449,66.6,421.35,0.0
37,Holmes County Ohio,44271,3718.764,13502.655,6242.210999999999,21914.145,43562.664000000004,177.084,44.271,132.813,44.271,309.897,442.71,43208.496,1081,177.084,14578,77.7,231200,1348,455,700,4.0,13200,3.28,40817.862,21914.145,30414.177000000003,26739.683999999997,25057.386000000002,4648.455,1992.195,12572.964,28776.15,22046.958,14652,21.9,69454,26999,4471.371,1332,18805,766913,104.6,422.61,0.0
38,Huron County Ohio,58367,3502.02,13891.346000000001,10564.427000000001,29241.867000000002,55973.95300000001,875.505,175.101,233.46800000000002,,1050.606,4085.69,52296.831999999995,3285,700.404,25507,72.0,133600,1110,452,750,142.0,23288,2.48,52238.465,2217.946,53055.60300000001,48678.07800000001,52530.3,8755.05,6887.3060000000005,4961.195,36012.439000000006,33035.722,11764,22.6,59049,28145,6537.103999999999,1081,18620,831402,119.0,492.24,0.0
39,Jackson County Ohio,32511,1983.1709999999998,7770.128999999999,5819.468999999999,16418.055,31438.137000000002,227.57699999999997,130.044,130.044,,585.198,357.62100000000004,31113.027000000002,2198,195.06599999999997,14512,75.0,111400,1106,421,685,51.0,12361,2.6,29650.032000000003,780.2639999999999,28252.059000000005,25716.200999999997,28414.614000000005,4909.161,5299.293000000001,2828.4569999999994,18791.357999999997,17328.362999999998,11664,27.1,50983,25843,5754.446999999999,607,8478,296472,77.7,420.31,0.0
40,Jefferson County Ohio,64789,3304.2389999999996,12763.433,14383.158000000001,33042.39,59087.568,3563.395,129.578,388.73400000000004,,1619.725,1166.202,58180.522000000004,4649,842.257,31081,70.9,102800,1055,429,694,6.0,26776,2.37,58180.522000000004,1295.78,55070.65,52997.402,60059.403,11856.386999999999,8163.414000000001,4729.597,35763.528000000006,33495.913,12668,23.3,49211,28207,11143.708,1188,18549,702650,159.9,408.12,0.0
41,Knox County Ohio,62897,3710.9230000000007,14403.412999999999,11824.636,31762.985,60695.605,628.97,188.69099999999997,377.38199999999995,,943.455,1132.146,59752.15,4132,817.6610000000001,25920,72.6,168700,1267,467,826,351.0,22908,2.57,55412.25699999999,3270.6440000000002,57299.166999999994,53651.140999999996,57676.549000000006,14277.618999999999,6038.111999999999,5660.73,37926.890999999996,35033.629,10155,27.5,64439,29383,7862.125,1095,18357,733504,119.4,525.5,1.0
42,Lake County Ohio,232023,11137.104,45244.485,48956.85300000001,118099.707,210908.90700000004,12297.219,464.04600000000005,3712.3680000000004,,4640.46,11601.15,200931.91799999998,14005,12993.287999999999,105937,74.5,166200,1349,560,952,775.0,98217,2.34,206732.49299999996,19025.886,216013.41299999997,207892.60799999998,215781.39,67054.647,20186.001,18329.817000000003,151743.04200000002,142462.122,16320,23.8,70168,37586,16241.61,5498,86083,4245635,1014.5,229.27,0.0
43,Lawrence County Ohio,57445,3044.585,12465.565,11086.885,29296.95,54687.64,1263.7900000000002,172.335,287.225,,1034.01,574.45,54228.08,3967,517.005,26519,72.1,112200,1090,435,759,16.0,22608,2.56,52045.17,631.8950000000001,49862.26,45841.11,51068.605,9708.204999999998,10454.99,4595.6,30158.625,28148.05,9691,22.7,48947,25754,9880.54,791,10304,361227,128.5,453.39,0.0
44,Licking County Ohio,180401,10463.258,41492.23,30848.571,91102.505,161098.093,7937.644,721.604,5953.232999999999,180.401,4690.426,4149.223,157670.47400000002,12598,5953.232999999999,73008,73.4,195100,1472,527,894,363.0,66342,2.62,157490.07299999997,8118.045,169035.737,162000.098,167412.128,51594.68600000001,20565.714,13530.075,113291.828,106256.189,14373,27.0,72771,35931,19844.11,3022,56800,2444812,261.6,682.43,0.0
